Incident,change,date,year,month,day,time,hour,addr,lon,lat,zip,nature,all,all2
2012069373,n,4/10/12,2012,04,Tuesday,1:45:31,01,201 NIKKI WY-CO,-92.342197,38.893602,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Apr-10-2012<br\>Time: 01:45<br\>Address: 201 NIKKI WY-CO,Incident: SF-SHOTS FIRED Date: Apr-10-2012 Time: 01:45 Address: 201 NIKKI WY-CO
2012164368,n,8/26/12,2012,08,Sunday,2:24:50,02,5147 COMMERCIAL DR-CO,-92.340183,38.8939,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Aug-26-2012<br\>Time: 02:24<br\>Address: 5147 COMMERCIAL DR-CO,Incident: SF-SHOTS FIRED Date: Aug-26-2012 Time: 02:24 Address: 5147 COMMERCIAL DR-CO
2012070846,n,4/12/12,2012,04,Thursday,0:23:47,00,5145 COMMERCIAL DR-CO,-92.340308,38.893912,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Apr-12-2012<br\>Time: 00:23<br\>Address: 5145 COMMERCIAL DR-CO,Incident: SF-SHOTS FIRED Date: Apr-12-2012 Time: 00:23 Address: 5145 COMMERCIAL DR-CO
2012183445,y,9/23/12,2012,09,Sunday,2:53:10,02,5005 PROVIDENCE RD S-CO,-92.33635,38.894033,65203,FW-FIREWORKS,Incident: FW-FIREWORKS<br\>Date: Sep-23-2012<br\>Time: 02:53<br\>Address: 5005 PROVIDENCE RD S-CO,Incident: FW-FIREWORKS Date: Sep-23-2012 Time: 02:53 Address: 5005 PROVIDENCE RD S-CO
2012170848,y,9/4/12,2012,09,Tuesday,20:28:12,20,5017 PROVIDENCE RD S-CO,-92.337566,38.894134,65203,SI-SUSP INCIDENT,Incident: SI-SUSP INCIDENT<br\>Date: Sep-04-2012<br\>Time: 20:28<br\>Address: 5017 PROVIDENCE RD S-CO,Incident: SI-SUSP INCIDENT Date: Sep-04-2012 Time: 20:28 Address: 5017 PROVIDENCE RD S-CO
2009220109,n,11/9/09,2009,11,Monday,14:32:52,14,5100 CARRIERIDGE DR-CO,-92.342761,38.894167,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Nov-09-2009<br\>Time: 14:32<br\>Address: 5100 CARRIERIDGE DR-CO,Incident: SF-SHOTS FIRED Date: Nov-09-2009 Time: 14:32 Address: 5100 CARRIERIDGE DR-CO
2013021687,n,2/2/13,2013,02,Saturday,3:59:25,03,306 DADS WY-CO,-92.343937,38.894253,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Feb-02-2013<br\>Time: 03:59<br\>Address: 306 DADS WY-CO,Incident: SF-SHOTS FIRED Date: Feb-02-2013 Time: 03:59 Address: 306 DADS WY-CO
2012073122,n,4/15/12,2012,04,Sunday,3:05:00,03,308 DADS WY-CO,-92.344129,38.894273,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Apr-15-2012<br\>Time: 03:05<br\>Address: 308 DADS WY-CO,Incident: SF-SHOTS FIRED Date: Apr-15-2012 Time: 03:05 Address: 308 DADS WY-CO
2010116861,n,6/14/10,2010,06,Monday,1:55:01,01,5109 BLUE SPRUCE CT-CO,-92.348582,38.894471,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jun-14-2010<br\>Time: 01:55<br\>Address: 5109 BLUE SPRUCE CT-CO,Incident: SF-SHOTS FIRED Date: Jun-14-2010 Time: 01:55 Address: 5109 BLUE SPRUCE CT-CO
2012173917,y,9/9/12,2012,09,Sunday,0:49:47,00,5081 COMMERCIAL DR-CO,-92.341011,38.894515,65203,FW-FIREWORKS,Incident: FW-FIREWORKS<br\>Date: Sep-09-2012<br\>Time: 00:49<br\>Address: 5081 COMMERCIAL DR-CO,Incident: FW-FIREWORKS Date: Sep-09-2012 Time: 00:49 Address: 5081 COMMERCIAL DR-CO
2013184385,y,9/26/13,2013,09,Thursday,0:06:36,00,5057 COMMERCIAL DR-CO,-92.340163,38.894795,65203,FW-FIREWORKS,Incident: FW-FIREWORKS<br\>Date: Sep-26-2013<br\>Time: 00:06<br\>Address: 5057 COMMERCIAL DR-CO,Incident: FW-FIREWORKS Date: Sep-26-2013 Time: 00:06 Address: 5057 COMMERCIAL DR-CO
2010222722,n,11/6/10,2010,11,Saturday,1:53:22,01,5067 COMMERCIAL DR-CO,-92.340624,38.894824,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Nov-06-2010<br\>Time: 01:53<br\>Address: 5067 COMMERCIAL DR-CO,Incident: SF-SHOTS FIRED Date: Nov-06-2010 Time: 01:53 Address: 5067 COMMERCIAL DR-CO
2012052267,n,3/17/12,2012,03,Saturday,1:09:20,01,5007 CARRIERIDGE DR-CO,-92.343167,38.895081,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Mar-17-2012<br\>Time: 01:09<br\>Address: 5007 CARRIERIDGE DR-CO,Incident: SF-SHOTS FIRED Date: Mar-17-2012 Time: 01:09 Address: 5007 CARRIERIDGE DR-CO
2012183427,y,9/23/12,2012,09,Sunday,2:40:27,02,5001 BETTY JEAN WY-CO,-92.342191,38.895091,65203,SI-SUSP INCIDENT,Incident: SI-SUSP INCIDENT<br\>Date: Sep-23-2012<br\>Time: 02:40<br\>Address: 5001 BETTY JEAN WY-CO,Incident: SI-SUSP INCIDENT Date: Sep-23-2012 Time: 02:40 Address: 5001 BETTY JEAN WY-CO
2012069377,n,4/10/12,2012,04,Tuesday,2:04:02,02,5035 PROVIDENCE RD S-CO,-92.338159,38.895175,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Apr-10-2012<br\>Time: 02:04<br\>Address: 5035 PROVIDENCE RD S-CO,Incident: SF-SHOTS FIRED Date: Apr-10-2012 Time: 02:04 Address: 5035 PROVIDENCE RD S-CO
2012246488,y,12/31/12,2012,12,Monday,21:27:49,21,3101 FUNDERBURG MILL DR-CO,-92.384471,38.895254,65203,FW-FIREWORKS,Incident: FW-FIREWORKS<br\>Date: Dec-31-2012<br\>Time: 21:27<br\>Address: 3101 FUNDERBURG MILL DR-CO,Incident: FW-FIREWORKS Date: Dec-31-2012 Time: 21:27 Address: 3101 FUNDERBURG MILL DR-CO
2012173893,n,9/9/12,2012,09,Sunday,0:31:34,00,212 CORPORATE LAKE DR-CO,-92.335939,38.895315,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Sep-09-2012<br\>Time: 00:31<br\>Address: 212 CORPORATE LAKE DR-CO,Incident: SF-SHOTS FIRED Date: Sep-09-2012 Time: 00:31 Address: 212 CORPORATE LAKE DR-CO
